Cell,ATF2(+),ATF4(+),BCL11A(+),BCLAF1(+),BPTF(+),CHURC1(+),CREB3L2(+),CUX1(+),DBP(+),DNMT1(+),E2F4(+),ELF1(+),ELF2(+),ELK3(+),EP300(+),ERF(+),ETS1(+),ETS2(+),ETV7(+),FLI1(+),FOXJ2(+),GPBP1L1(+),HES1(+),HLTF(+),HMGXB4(+),HOXB2(+),HSF1(+),IKZF1(+),ING4(+),JUN(+),JUND(+),KLF10(+),KLF12(+),KLF13(+),KLF2(+),KLF3(+),KLF4(+),KLF6(+),MAFB(+),MAFG(+),MAX(+),MECP2(+),MXD4(+),MYC(+),MZF1(+),NFATC1(+),NFE2L1(+),NFIC(+),NFKB2(+),NFYA(+),NR1H3(+),NR3C1(+),PATZ1(+),PLAGL2(+),PRDM1(+),RELA(+),RFXANK(+),RFXAP(+),RXRA(+),SP2(+),SPIB(+),SREBF2(+),STAT1(+),STAT3(+),STAT5A(+),TBX21(+),TCF3(+),TCF7(+),TCF7L2(+),TFDP1(+),TFDP2(+),USF2(+),YY1(+),ZBTB7A(+),ZBTB7B(+),ZNF18(+),ZNF576(+),ZNF580(+),ZNF740(+),ZNF846(+),ZNF880(+),ZNF90(+)
0,0.0,0.01602136181575434,0.0,0.004485981308411215,0.01862668743509865,0.0009069758271225206,0.0,0.0,0.02862582208376601,0.0,0.011586598895993878,0.004723143402673098,0.0,0.0,0.02461670026265958,0.0,0.0,0.01986846659743856,0.0,0.07502596053997923,0.0,0.0,0.031347352024922115,0.0,0.0,0.0,0.0,0.004788277373947156,0.0,0.01364522417153996,0.0,0.012114918656974732,0.0,0.0,0.009997456926695913,0.025367156208277702,0.018320723928200562,0.010796863876078667,0.0,0.0,0.0745067497403946,0.014756517461878997,0.054690204222914506,0.018302180685358254,0.0,0.0,0.0,0.08971962616822429,0.006100726895119419,0.0,0.0,0.019095419406945886,0.0,0.0,0.0,0.0,0.0,0.0,0.04919522326064382,0.056074766355140186,0.0639028676411854,0.027436191725419466,0.0,0.024402907580477674,0.007268951194184839,0.0,0.004845967462789893,0.12841813776393216,0.0,0.010367192686788214,0.0,0.020220376139379256,0.00908290284842988,0.0,0.026285046728971962,0.13361024575977848,0.020768431983385256,0.0,0.01602136181575434,0.0,0.0,0.008069046524692303
1,0.0,0.018098205014092865,0.0,0.005067497403946002,0.01979491173416407,0.0010909999079879596,0.0,0.0,0.055347871235721706,0.0,0.012078482811389846,0.005225605466787258,0.0,0.00033595992914299674,0.02571620548530939,0.0,0.0,0.021114572516441676,0.0,0.028102284527518173,0.0,0.0,0.05034181377639321,0.0,0.0,0.0,0.009994807892004154,0.005345948232760279,0.0,0.014301069392067916,0.0,0.012634129456559362,0.0,0.0,0.010463687032445377,0.02639209181265256,0.01950749147010829,0.015000430786252931,0.0,0.0,0.07917964693665629,0.015494343334972946,0.05699780777662398,0.020249221183800622,0.0,0.0,0.0,0.0936656282450675,0.006749740394600207,0.0,0.0,0.020076150917272412,0.0,0.0,0.0,0.0,0.0,0.13326410522672205,0.0,0.058878504672897194,0.06789679686875949,0.02847461332458873,0.0,0.12547594323295258,0.008722741433021807,0.0,0.005815160955347871,0.0,0.0,0.024190116269172498,0.0,0.021287642782969886,0.01946711884012251,0.0,0.027453271028037383,0.13984077535479406,0.02165850763981605,0.0,0.018098205014092865,0.0,0.0,0.021262107825613264
2,0.0,0.0,0.0,0.05632398753894081,0.0036993769470404984,0.01573405891399503,0.0,0.0,0.001973001038421599,0.022554517133956387,0.023118544023610427,0.02401768666465682,0.07445482866043614,0.021898479017775335,0.010445299615173173,0.0,0.04244548286604361,0.003946002076843198,0.03005957260753129,0.011812045690550364,0.0,0.0,0.013196607822776048,0.0,0.0,0.0,0.012383177570093457,0.03680627668166609,0.033128998760593574,0.005192107995846314,0.0,0.042171454944040614,0.0,0.0,0.01049017737936296,0.021591077665844022,0.007120605251446373,0.0069560643367932275,0.0,0.0,0.014797507788161994,0.019593375963272666,0.10314987885081343,0.0,0.0,0.032594900196146304,0.0,0.041433021806853584,0.0,0.0,0.0,0.005769008884273682,0.03574356451877357,0.0,0.0,0.0,0.01961019250738877,0.23381793007961232,0.0,0.0,0.01829219586228932,0.014647209925124338,0.0,0.0,0.0,0.0,0.049636552440290756,0.0,0.0,0.0,0.0,0.006893965616707049,0.01242162545841713,0.0,0.011227933541017653,0.05330564209068882,0.07194778222815607,0.0,0.0,0.0,0.0,0.022947415011150264
3,0.0,0.0,0.050066755674232306,0.0,0.002141744548286604,0.0,0.0,0.0,0.1201453790238837,0.0,0.004563589659507023,0.0,0.0,0.011453179402602163,0.008948750839899823,0.0,0.0,0.002284527518172378,0.0,0.01025441329179647,0.0,0.0,0.0115957078573901,0.0,0.023161316537992686,0.0,0.016458982346832813,0.009865005192107996,0.01718420259270425,0.010529959374032173,0.07040498442367601,0.004701742240683051,0.0,0.0,0.008143132642465085,0.021550619681460804,0.00619344310933096,0.011345549524548014,0.0,0.0,0.008566978193146417,0.06659561676777614,0.024806738202376832,0.0,0.0,0.0,0.0,0.03644859813084112,0.0,0.031335898845519516,0.0,0.004326756663205262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21682242990654205,0.014537902388369679,0.013116904410559108,0.0,0.0,0.10529595015576323,0.0,0.0,0.0,0.0,0.022862298486628196,0.0,0.005509403484481366,0.018139516542450412,0.0,0.009637850467289719,0.04499826929733472,0.008060129555456659,0.05763239875389408,0.0,0.0,0.05028927458834001,0.003660010554449041
4,0.0,0.0,0.0,0.0,0.008891484942886812,0.03990693639339091,0.0,0.0,0.004742125302872966,0.0,0.007350931846750833,0.0,0.0,0.0,0.015209822246655671,0.0,0.0,0.009484250605745932,0.0,0.01687435098650052,0.0,0.0,0.01828054690204223,0.0,0.0,0.0,0.0,0.0,0.0,0.008106975642637227,0.0,0.026710511134187147,0.02634514057151648,0.0,0.010405408269226694,0.040646788310339715,0.009976264649161846,0.006638642887265505,0.0,0.0,0.03556593977154725,0.018718915669235395,0.036921656859351566,0.0,0.0,0.02394138686973578,0.0,0.05763239875389408,0.0,0.0,0.0,0.010384215991692628,0.0,0.0,0.0,0.0,0.0,0.0,0.03660436137071651,0.0,0.030992890805974917,0.05875280100562934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05629606931889757,0.0,0.011451482635283259,0.005060662223799571,0.0,0.01629023883696781,0.08065074420214607,0.044849923354596255,0.0,0.0,0.0,0.0,0.005447457569412526
5,0.0,0.001631805370123127,0.0,0.0004569055036344756,0.012525960539979232,0.0,0.0,0.0,0.006680512287988924,0.0,0.009017871782259386,0.0015073861923424782,0.0,0.0,0.018874839655488362,0.0,0.04543094496365525,0.013361024575977848,0.0,0.020768431983385256,0.0,0.0,0.023213049498096227,0.0,0.0,0.0,0.0,0.015076343217568556,0.0,0.010202036763768196,0.0,0.009403484481366102,0.0,0.0,0.010908724860660775,0.02037733813434748,0.012238540275923453,0.019820702226938196,0.0,0.0,0.05010384215991693,0.0,0.04407522787585093,0.005841121495327103,0.0,0.0,0.0,0.07030114226375908,0.03876773970231914,0.0,0.0,0.07343948309680397,0.0,0.0,0.0,0.0,0.0,0.0,0.04302959501557632,0.0,0.04105759245946162,0.12204186478657704,0.0,0.00778816199376947,0.0,0.0,0.0,0.0,0.0,0.014486832473656435,0.0,0.014797507788161994,0.006598577756746454,0.0,0.020184319833852545,0.1010730356524749,0.016120259110913318,0.0,0.001631805370123127,0.0,0.0,0.006502902473486203
6,0.0,0.01898828067052366,0.0,0.029906542056074768,0.020054517133956385,0.0011698673712160048,0.0,0.0,0.010695742471443406,0.02458982346832814,0.012187790348144505,0.0252235956185308,0.061474558670820356,0.0004581271761040865,0.025929998167491294,0.0,0.03842159916926272,0.06237452405676705,0.0,0.02829698857736241,0.0,0.0,0.033251124956732436,0.0,0.0321007720438846,0.0,0.008476116303219107,0.00555747855851698,0.0,0.025213605144741396,0.0,0.012749509634244836,0.029921926079766164,0.0,0.013721999703308115,0.026634839718951867,0.019878356326954456,0.011472518104359104,0.0,0.0,0.08021806853582554,0.01841831994316008,0.057459328487365874,0.09774143302180685,0.3670820353063344,0.0,0.0,0.09439252336448598,0.03772931810314988,0.0,0.0,0.020364601361486098,0.0,0.0,0.0,0.0,0.023644061027238598,0.0,0.0,0.0,0.06893521846792874,0.028747882166475378,0.0,0.027864312911041883,0.009345794392523364,0.4166147455867082,0.006230529595015576,0.0,0.06732433367947387,0.0015150741364928586,0.0683050651898004,0.03856582439136956,0.009661264245435546,0.0,0.027680425752855658,0.1408791969539633,0.051129901597191316,0.0,0.01898828067052366,0.0,0.0,0.008477605842398242
7,0.0,0.02966918854769322,0.0,0.010633437175493251,0.024792315680166148,0.002116276929952548,0.0,0.0,0.01322256836275528,0.0,0.014237306662294365,0.007838408200180886,0.0,0.0026571376214037015,0.03191619326858469,0.0,0.0,0.02644513672551056,0.0,0.03316458982346833,0.1374177916233991,0.0,0.04088785046728972,0.0009345794392523365,0.0,0.0,0.0007268951194184839,0.008345832852582592,0.0,0.017143065347689057,0.0,0.014912887965847468,0.0,0.0,0.012784241422425667,0.031381909886582786,0.025330069722593086,0.013862248160089241,0.0,0.0,0.09916926272066459,0.0,0.06599746163609092,0.030373831775700934,0.0,0.0,0.0,0.109865005192108,0.010124610591900311,0.002809846680105064,0.0,0.024575977847005884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08650850706925474,0.03273760725802044,0.0,0.040498442367601244,0.016822429906542057,0.0,0.011214953271028037,0.0,0.004845967462789893,0.002740752089610677,0.0,0.02737394715587862,0.01232961341798441,0.0,0.03254802699896158,0.16683973693319487,0.025564950798595658,0.0,0.02966918854769322,0.0,0.0,0.00973733040532489
8,0.0,0.0,0.0,0.020602284527518173,0.011487538940809968,0.015313432443445456,0.06550709588092765,0.0,0.00612668743509865,0.0,0.008607968519429415,0.0010719190701102067,0.0,0.0,0.06465701545415674,0.0,0.0,0.0122533748701973,0.0,0.01979491173416407,0.0,0.0,0.021936656282450676,0.0,0.0,0.0,0.029880581516095534,0.0006153609476558594,0.0,0.03016888014428595,0.0,0.05119995384792893,0.029114264835967848,0.0,0.01504121897980376,0.06879205944626506,0.011682242990654205,0.03281684328903037,0.0,0.0,0.045950155763239874,0.0,0.04222914503288335,0.004153686396677051,0.0,0.0,0.06378875537754042,0.06718587746625129,0.02284527518172378,0.0,0.0,0.012749509634244836,0.0,0.0,0.0,0.07146228641555745,0.0,0.0,0.0,0.0,0.037782570492850866,0.02147893097229054,0.0,0.005538248528902735,0.0,0.0,0.09255797853928695,0.0,0.0,0.0,0.0,0.02630668051228799,0.03708085229438595,0.022393787529911058,0.01921079958463136,0.09588092765662859,0.015378529397220985,0.0,0.0,0.0,0.0,0.006230529595015576
9,0.0,0.009642486278000297,0.0,0.0026998961578400833,0.015771028037383176,0.0003417590073215295,0.0,0.0,0.008411214953271028,0.0,0.010356889107503962,0.003282752152212508,0.0,0.0,0.021898479017775335,0.0,0.0,0.0722049151955694,0.0,0.02394859813084112,0.0,0.0,0.02753980616130149,0.0,0.0,0.0,0.008294392523364487,0.003134494827122034,0.0,0.012023829043012515,0.0,0.010816891658013153,0.0,0.0,0.0088477758704728,0.02302059311405106,0.015057113187954309,0.02325792306610982,0.0,0.0,0.0630841121495327,0.0,0.04972885658243914,0.01272066458982347,0.0,0.0,0.0,0.08047767393561786,0.004240221529941156,0.0,0.0,0.01649936540902273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053279015895838326,0.025086079685194294,0.0,0.016960886119764623,0.002803738317757009,0.0,0.001869158878504673,0.0,0.0,0.00044260592751476773,0.0,0.03608515057113188,0.007939324631623224,0.0,0.023396936656282452,0.11838006230529595,0.018543242842308263,0.0,0.009642486278000297,0.0,0.0,0.007337044413802496
